Day,Date,SPY_Close,Status,Capital_Deployed,Unrealized_PnL,PnL_Pct,Portfolio_Value,Benchmark_Value,Benchmark_Return_Pct,Strategy_Return_Pct,Alpha_Pct,Reference_IfHeld,Signal_Saved
Day 25,2026-04-13,684.24,FLAT,0.0,0.0,0.0,100015.64,101416.96,1.417,0.0156,-1.401,178.04,1010.78
Day 26,2026-04-14,692.58,FLAT,0.0,0.0,0.0,100015.64,102653.1,2.653,0.0156,-2.637,261.44,927.38
Day 27,2026-04-15,697.95,FLAT,0.0,0.0,0.0,100015.64,103449.03,3.449,0.0156,-3.433,315.14,873.68
Day 28,2026-04-16,699.73,FLAT,0.0,0.0,0.0,100035.59,103712.86,3.713,0.0356,-3.677,332.94,855.88
Day 29,2026-04-17,708.24,FLAT,0.0,0.0,0.0,100029.67,104974.2,4.974,0.0297,-4.944,418.04,770.78
Day 30,2026-04-20,706.97,Long 56 SPY (T4),39577.74,12.58,0.032,100042.25,104785.96,4.786,0.0422,-4.744,405.34,783.48
Day 31,2026-04-21,702.1,FLAT,0.0,0.0,0.0,100003.61,104064.14,4.064,0.0036,-4.06,356.64,832.18
Day 32,2026-04-22,709.37,Long 56 SPY (T5),39749.07,-24.35,-0.061,99979.26,105141.69,5.142,-0.0207,-5.163,429.34,759.48
Day 33,2026-04-23,706.59,FLAT,0.0,0.0,0.0,99875.66,104729.64,4.73,-0.1243,-4.854,401.54,787.28
Day 34,2026-04-24,712.14,Long 56 SPY (T6),39831.52,48.32,0.121,99923.98,105552.25,5.552,-0.076,-5.628,457.04,731.78
Day 35,2026-04-27,713.33,Long 56 SPY (T6),39831.52,114.96,0.289,99990.62,105728.63,5.729,-0.0094,-5.738,468.94,719.88
Day 36,2026-04-28,709.85,Long 56 SPY (T6),39831.52,-79.92,-0.201,99795.74,105212.83,5.213,-0.2043,-5.417,434.14,754.68
Day 37,2026-04-29,709.76,FLAT,0.0,0.0,0.0,99760.46,105199.49,5.199,-0.2395,-5.438,433.24,755.58
Day 38,2026-04-30,716.56,FLAT,0.0,0.0,0.0,100017.86,106207.38,6.207,0.0179,-6.189,501.24,687.58
Day 39,2026-05-01,718.64,Long 55 SPY (T8),39746.83,-221.63,-0.558,99796.23,106515.67,6.516,-0.2038,-6.72,522.04,666.78
Day 40,2026-05-04,716.25,Long 55 SPY (T8),39746.83,-353.08,-0.888,99664.78,106161.43,6.161,-0.3352,-6.496,498.14,690.68
Day 41,2026-05-05,721.85,Long 55 SPY (T8),39746.83,-45.08,-0.113,99972.78,106991.45,6.991,-0.0272,-7.018,554.14,634.68
Day 42,2026-05-06,731.88,Long 55 SPY (T8),39746.83,506.57,1.274,100524.43,108478.08,8.478,0.5244,-7.954,654.44,534.38
Day 43,2026-05-07,729.65,Long 55 SPY (T8),39746.83,383.92,0.966,100401.78,108147.56,8.148,0.4018,-7.746,632.14,556.68
